City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapa'a,22.0752,-159.319,26.17,82,0,3.09,US,1699037407
1,ribeira grande,38.5167,-28.7,21.22,94,75,9.26,PT,1699037407
2,kloulklubed,7.0419,134.2556,25.28,75,79,1.93,PW,1699037408
3,petropavlovsk-kamchatsky,53.0452,158.6483,4.14,64,75,6.26,RU,1699037408
4,kodiak,57.79,-152.4072,7.73,87,100,5.14,US,1699037408
5,puerto ayora,-0.7393,-90.3518,29.98,85,99,3.58,EC,1699037315
6,wailua homesteads,22.0669,-159.378,25.42,83,0,3.09,US,1699037408
7,coahuayana de hidalgo,18.7,-103.6583,32.53,57,16,1.51,MX,1699037409
8,koungou,-12.7336,45.2042,27.84,78,0,4.63,YT,1699037409
9,whitehorse,60.7161,-135.0538,0.45,94,100,4.63,CA,1699037409
10,antsiranana,-12.2787,49.2917,25.23,88,100,3.42,MG,1699037410
11,yeonggwang,35.275,126.5094,16.81,95,100,0.7,KR,1699037410
12,grytviken,-54.2811,-36.5092,3.55,85,25,5.47,GS,1699037410
13,adamstown,-25.066,-130.1015,22.7,81,100,7.08,PN,1699037410
14,callao,-12.0667,-77.15,21.16,73,75,4.12,PE,1699037353
15,albina,5.5,-54.05,32.9,51,66,4.13,SR,1699037411
16,jaguariaiva,-24.2511,-49.7058,24.15,84,23,6.31,BR,1699037411
17,bethel,41.3712,-73.414,13.69,43,0,5.66,US,1699037411
18,tutoia,-2.7619,-42.2744,28.91,74,1,6.65,BR,1699037411
19,saudarkrokur,65.7461,-19.6394,-1.21,80,100,1.39,IS,1699037412
20,mersa matruh,31.3525,27.2453,27.11,36,0,0.0,EG,1699037378
21,bilibino,68.0546,166.4372,-11.63,91,100,1.63,RU,1699037412
22,micheweni,-4.9667,39.8333,24.45,90,100,3.88,TZ,1699037412
23,albany,42.6001,-73.9662,14.58,38,45,1.34,US,1699037206
24,yellowknife,62.456,-114.3525,-5.71,93,100,4.12,CA,1699037412
25,oral,51.2333,51.3667,7.99,87,100,2.0,KZ,1699037412
26,kurumkan,54.3,110.3,-10.49,43,0,1.34,RU,1699037413
27,ilulissat,69.2167,-51.1,-1.99,54,75,6.69,GL,1699037413
28,ponta delgada,37.7333,-25.6667,21.77,94,40,8.23,PT,1699037119
